20 20
0 0 30
1 0 30
2 0 30
3 0 30
4 0 30
5 0 30
6 0 30
7 0 30
8 0 30
9 0 30
10 0 30
11 0 30
12 0 30
13 0 30
14 0 30
15 0 30
16 0 30
17 0 30
18 0 30
19 0 30
0 1 30
0 2 30
0 3 30
0 4 30
0 5 30
0 6 30
0 7 30
0 8 30
0 9 30
0 10 30
0 11 30
0 12 30
0 13 30
0 14 30
0 15 30
0 16 30
0 17 30
0 18 30
0 19 30
19 1 30
19 2 30
19 3 30
19 4 30
19 5 30
19 6 30
19 7 30
19 8 30
19 9 30
19 10 30
19 11 30
19 12 30
19 13 30
19 14 30
19 15 30
19 16 30
19 17 30
19 18 30
19 19 30
1 19 30
2 19 30
3 19 30
4 19 30
5 19 30
6 19 30
7 19 30
8 19 30
9 19 30
10 19 30
11 19 30
12 19 30
13 19 30
14 19 30
15 19 30
16 19 30
17 19 30
18 19 30
5 1 30
5 2 30
4 4 30
5 4 30
1 5 30
2 5 30
3 5 30
4 5 30
5 5 30
14 1 30
14 2 30
14 3 30
14 4 30
15 4 30
14 5 30
15 5 30
17 5 30
18 5 30
1 8 15
2 8 15
3 8 15
4 8 15
1 9 15
2 9 15
3 9 15
4 9 15
1 10 10
1 11 5
8 8 15
9 8 15
10 8 15
8 9 15
9 9 15
10 9 15
11 9 15
12 9 15
8 10 15
9 10 15
10 10 15
11 10 15
12 10 15
8 11 15
9 11 15
10 11 15
11 11 15
12 11 15
9 12 15
10 12 15
18 8 5
18 9 10
15 10 15
16 10 15
17 10 15
18 10 15
15 11 15
16 11 15
17 11 15
18 11 15
1 14 30
2 14 30
4 14 30
5 14 30
4 15 30
5 15 30
5 16 30
5 17 30
5 18 30
14 14 30
15 14 30
16 14 30
17 14 30
18 14 30
14 15 30
15 15 30
14 17 30
14 18 30
